UniProtIds,Genes,ProteinGroups,ProteinNames,ProteinDescriptions,Valid,Comparison (group1/group2),Condition Numerator,Condition Denominator,# of Ratios,Group,AVG Group Quantity Denominator,AVG Group Quantity Numerator,AVG Log2 Ratio,Absolute AVG Log2 Ratio,% Change,Ratio,Standard Deviation,Pvalue,Qvalue,Degrees Of Freedom,Standard Error,Organisms,Protein Coverage,Molecular Weight,GO Biological Process,GO Molecular Function,GO Cellular Component,Database,Protein Existence,Sequence Version,FASTAName,FASTAHeader,# Unique Total Peptides,# Unique Total EG.Id
A0AV96,RBM47,A0AV96,RBM47_HUMAN,RNA-binding protein 47,TRUE,T / M,T,M,25,A0AV96,105.230361938476,1747.07641601562,4.05,4.05,1560.24,16.60,0,9.80E-01,7.57E-01,24,0.64381742261773,Homo sapiens,0%,64099.08,"hematopoietic progenitor cell differentiation,cytidine to uridine editing","nucleotide binding,poly(A) RNA binding",nucleus,sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2,23,32
A0AVT1,UBA6,A0AVT1,UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6,TRUE,T / M,T,M,50,A0AVT1,169.072174072265,186.449340820312,0.14,0.14,10.28,1.10,0,5.49E-01,6.27E-01,49,0.211900591642552,Homo sapiens,1.20%,117969.97,"ubiquitin-dependent protein catabolic process,learning,locomotory behavior,protein ubiquitination,amygdala development,hippocampus development,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,dendritic spine development","ubiquitin activating enzyme activity,protein binding,ATP binding,FAT10 activating enzyme activity","cytoplasm,cytosol",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1,57,84
A0FGR8,ESYT2,A0FGR8,ESYT2_HUMAN,Extended synaptotagmin-2,TRUE,T / M,T,M,45,A0FGR8,128.490921020507,202.99055480957,0.66,0.66,57.98,1.58,0,9.57E-02,3.18E-01,44,0.300406982045344,Homo sapiens,0%,102357.48,"lipid transport,endocytosis,cell-cell adhesion","calcium ion binding,calcium-dependent phospholipid binding,phosphatidylethanolamine binding,phosphatidylcholine binding,phosphatidylinositol binding,cadherin binding involved in cell-cell adhesion","integral component of plasma membrane,cell-cell adherens junction,membrane,intrinsic component of endoplasmic reticulum membrane,extrinsic component of cytoplasmic side of plasma membrane,organelle membrane contact site",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2 PE=1 SV=1,31,40
A1L0T0,ILVBL,A1L0T0,ILVBL_HUMAN,Acetolactate synthase-like protein,TRUE,T / M,T,M,45,A1L0T0,173.12255859375,142.852722167968,-0.28,0.28,-17.48,0.83,0,2.12E-01,4.51E-01,44,0.258208950596542,Homo sapiens,2.10%,67867.74,biological_process,"magnesium ion binding,molecular_function,transferase activity,thiamine pyrophosphate binding","membrane,integral component of membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2,22,36
A2RRP1,NBAS,A2RRP1,NBAS_HUMAN,Neuroblastoma-amplified sequence,TRUE,T / M,T,M,60,A2RRP1,127.277725219726,104.313529968261,-0.29,0.29,-18.04,0.82,0,5.34E-01,6.25E-01,59,0.214404086360224,Homo sapiens,1.50%,268571.31,"nuclear-transcribed mRNA catabolic process,retrograde vesicle-mediated transport, Golgi to ER,protein transport,negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",SNARE binding,"endoplasmic reticulum,endoplasmic reticulum membrane,cytosol,membrane,Dsl1/NZR complex",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS PE=1 SV=2,49,59
A3KMH1,VWA8,A3KMH1,VWA8_HUMAN,von Willebrand factor A domain-containing protein 8,TRUE,T / M,T,M,25,A3KMH1,139.707534790039,112.085823059082,-0.32,0.32,-19.77,0.80,0,5.26E-02,2.38E-01,24,0.458140313359408,Homo sapiens,0.50%,214824.45,,"ATP binding,ATPase activity","extracellular region,mitochondrion",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2,51,57
A4D1P6,WDR91,A4D1P6,WDR91_HUMAN,WD repeat-containing protein 91,TRUE,T / M,T,M,15,A4D1P6,46.6237983703613,39.2508583068847,-0.25,0.25,-15.81,0.84,0,7.42E-01,6.94E-01,14,0.658748396893836,Homo sapiens,0%,83344.4,,,,sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A4D1P6|WDR91_HUMAN WD repeat-containing protein 91 OS=Homo sapiens GN=WDR91 PE=1 SV=2,17,18
A5A3E0,POTEF,A5A3E0,POTEF_HUMAN,POTE ankyrin domain family member F,TRUE,T / M,T,M,10,A5A3E0,330.608032226562,770.501098632812,1.22,1.22,133.06,2.33,0,7.21E-01,6.84E-01,9,0.558381411955736,Homo sapiens,0%,121444.52,retina homeostasis,,"extracellular space,cell cortex,extracellular exosome,blood microparticle",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A5A3E0|POTEF_HUMAN POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2,2,2
A5YKK6,CNOT1,A5YKK6,CNOT1_HUMAN,CCR4-NOT transcription complex subunit 1,TRUE,T / M,T,M,140,A5YKK6,191.01756286621,219.650970458984,0.20,0.20,14.99,1.15,0,3.30E-02,1.84E-01,139,0.159667639533816,Homo sapiens,6.10%,266938.87,"negative regulation of transcription from RNA polymerase II promoter,nuclear-transcribed mRNA poly(A) tail shortening,transcription, DNA-templated,DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,multicellular organism development,positive regulation of cytoplasmic mRNA processing body assembly,negative regulation of translation,negative regulation of intracellular estrogen receptor signaling pathway,gene silencing by miRNA,negative regulation of retinoic acid receptor signaling pathway,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,positive regulation of mRNA catabolic process,RNA phosphodiester bond hydrolysis, exonucleolytic,positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,regulation of stem cell population maintenance","protein binding,protein domain specific binding,estrogen receptor binding,protein complex scaffold,retinoic acid receptor binding,poly(A) RNA binding,armadillo repeat domain binding,poly(A)-specific ribonuclease activity","cytoplasmic mRNA processing body,extracellular space,nucleus,cytoplasm,cytosol,membrane,CCR4-NOT complex,CCR4-NOT core complex,intracellular membrane-bounded organelle",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,88,114
A6NGU5;P19440;P36268,GGT3P;GGT1;GGT2,A6NGU5;P19440;P36268,GGT3_HUMAN;GGT1_HUMAN;GGT2_HUMAN,Putative gamma-glutamyltranspeptidase 3;Gamma-glutamyltranspeptidase 1;Inactive gamma-glutamyltranspeptidase 2,TRUE,T / M,T,M,10,A6NGU5;P19440;P36268,61.1332626342773,384.859344482421,2.65,2.65,529.54,6.30,0,3.94E-01,5.63E-01,9,0.723007929336538,Homo sapiens,0%;0%;0%,61501.57;61410.22;61770.97,"proteolysis,glutathione metabolic process,glutathione biosynthetic process,leukotriene biosynthetic process;regulation of immune system process,cellular amino acid metabolic process,glutamate metabolic process,leukotriene metabolic process,glutathione metabolic process,glutathione biosynthetic process,glutathione catabolic process,xenobiotic metabolic process,spermatogenesis,cysteine biosynthetic process,leukotriene biosynthetic process,zymogen activation,regulation of inflammatory response;glutathione metabolic process,glutathione biosynthetic process,xenobiotic metabolic process,leukotriene biosynthetic process,zymogen activation","gamma-glutamyltransferase activity,glutathione hydrolase activity;gamma-glutamyltransferase activity,protein binding,glutathione hydrolase activity;gamma-glutamyltransferase activity,glutathione hydrolase activity","integral component of membrane,anchored component of external side of plasma membrane,extracellular exosome;extracellular space,plasma membrane,integral component of membrane,anchored component of external side of plasma membrane,extracellular exosome;endoplasmic reticulum,plasma membrane,anchored component of external side of plasma membrane,perinuclear region of cytoplasm,extracellular exosome",sp,5;1;1,2;2;3,uniprot_sprot_2015-08-28_HUMAN,>sp|A6NGU5|GGT3_HUMAN Putative gamma-glutamyltranspeptidase 3 OS=Homo sapiens GN=GGT3P PE=5 SV=2;>sp|P19440|GGT1_HUMAN Gamma-glutamyltranspeptidase 1 OS=Homo sapiens GN=GGT1 PE=1 SV=2;>sp|P36268|GGT2_HUMAN Inactive gamma-glutamyltranspeptidase 2 OS=Homo sapiens GN=GGT2 PE=1 SV=3,2,2
