UniProtIds,Genes,ProteinGroups,ProteinNames,ProteinDescriptions,Valid,Comparison (group1/group2),Condition Numerator,Condition Denominator,# of Ratios,Group,AVG Group Quantity Denominator,AVG Group Quantity Numerator,AVG Log2 Ratio,Absolute AVG Log2 Ratio,% Change,Ratio,Standard Deviation,Pvalue,Qvalue,Degrees Of Freedom,Standard Error,Organisms,Protein Coverage,Molecular Weight,GO Biological Process,GO Molecular Function,GO Cellular Component,Database,Protein Existence,Sequence Version,FASTAName,FASTAHeader,# Unique Total Peptides,# Unique Total EG.Id
A0AV96,RBM47,A0AV96,RBM47_HUMAN,RNA-binding protein 47,TRUE,M / MaN,M,MaN,20,A0AV96,337.343719482421,117.535118103027,-1.52,1.52,-65.16,0.35,0,7.75E-02,1.63E-01,19,0.362036072590374,Homo sapiens,0%,64099.08,"hematopoietic progenitor cell differentiation,cytidine to uridine editing","nucleotide binding,poly(A) RNA binding",nucleus,sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2,23,32
A0AVT1,UBA6,A0AVT1,UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6,TRUE,M / MaN,M,MaN,35,A0AVT1,746.439147949218,259.840942382812,-1.52,1.52,-65.19,0.35,0,6.28E-01,5.31E-01,34,0.38526369738458,Homo sapiens,1.20%,117969.97,"ubiquitin-dependent protein catabolic process,learning,locomotory behavior,protein ubiquitination,amygdala development,hippocampus development,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,dendritic spine development","ubiquitin activating enzyme activity,protein binding,ATP binding,FAT10 activating enzyme activity","cytoplasm,cytosol",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1,57,84
A0FGR8,ESYT2,A0FGR8,ESYT2_HUMAN,Extended synaptotagmin-2,TRUE,M / MaN,M,MaN,25,A0FGR8,2160.91259765625,76.1817245483398,-4.83,4.83,-96.47,0.04,0,1.22E-01,2.16E-01,24,0.594701132105304,Homo sapiens,0%,102357.48,"lipid transport,endocytosis,cell-cell adhesion","calcium ion binding,calcium-dependent phospholipid binding,phosphatidylethanolamine binding,phosphatidylcholine binding,phosphatidylinositol binding,cadherin binding involved in cell-cell adhesion","integral component of plasma membrane,cell-cell adherens junction,membrane,intrinsic component of endoplasmic reticulum membrane,extrinsic component of cytoplasmic side of plasma membrane,organelle membrane contact site",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2 PE=1 SV=1,31,40
A1L0T0,ILVBL,A1L0T0,ILVBL_HUMAN,Acetolactate synthase-like protein,TRUE,M / MaN,M,MaN,15,A1L0T0,61.5913925170898,45.0655555725097,-0.45,0.45,-26.83,0.73,0,7.82E-01,5.89E-01,14,0.510044664956368,Homo sapiens,0%,67867.74,biological_process,"magnesium ion binding,molecular_function,transferase activity,thiamine pyrophosphate binding","membrane,integral component of membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2,22,36
A2RRP1,NBAS,A2RRP1,NBAS_HUMAN,Neuroblastoma-amplified sequence,TRUE,M / MaN,M,MaN,25,A2RRP1,54.7191200256347,40.4527282714843,-0.44,0.44,-26.07,0.74,0,8.99E-01,6.28E-01,24,0.409497181565485,Homo sapiens,0.90%,268571.31,"nuclear-transcribed mRNA catabolic process,retrograde vesicle-mediated transport, Golgi to ER,protein transport,negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",SNARE binding,"endoplasmic reticulum,endoplasmic reticulum membrane,cytosol,membrane,Dsl1/NZR complex",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS PE=1 SV=2,49,59
A3KMH1,VWA8,A3KMH1,VWA8_HUMAN,von Willebrand factor A domain-containing protein 8,TRUE,M / MaN,M,MaN,20,A3KMH1,80.125862121582,100.2177734375,0.32,0.32,25.08,1.25,0,7.46E-01,5.80E-01,19,0.76527307558965,Homo sapiens,0%,214824.45,,"ATP binding,ATPase activity","extracellular region,mitochondrion",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2,51,57
A5YKK6,CNOT1,A5YKK6,CNOT1_HUMAN,CCR4-NOT transcription complex subunit 1,TRUE,M / MaN,M,MaN,115,A5YKK6,275.818267822265,407.47998046875,0.56,0.56,47.73,1.48,0,8.93E-01,6.28E-01,114,0.221367314679135,Homo sapiens,0.90%,266938.87,"negative regulation of transcription from RNA polymerase II promoter,nuclear-transcribed mRNA poly(A) tail shortening,transcription, DNA-templated,DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,multicellular organism development,positive regulation of cytoplasmic mRNA processing body assembly,negative regulation of translation,negative regulation of intracellular estrogen receptor signaling pathway,gene silencing by miRNA,negative regulation of retinoic acid receptor signaling pathway,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,positive regulation of mRNA catabolic process,RNA phosphodiester bond hydrolysis, exonucleolytic,positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,regulation of stem cell population maintenance","protein binding,protein domain specific binding,estrogen receptor binding,protein complex scaffold,retinoic acid receptor binding,poly(A) RNA binding,armadillo repeat domain binding,poly(A)-specific ribonuclease activity","cytoplasmic mRNA processing body,extracellular space,nucleus,cytoplasm,cytosol,membrane,CCR4-NOT complex,CCR4-NOT core complex,intracellular membrane-bounded organelle",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,88,114
A6NHR9,SMCHD1,A6NHR9,SMHD1_HUMAN,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,TRUE,M / MaN,M,MaN,20,A6NHR9,45.8695526123046,31.7736663818359,-0.53,0.53,-30.73,0.69,0,4.70E-01,4.62E-01,19,0.359375695381492,Homo sapiens,0%,226373.57,"chromosome organization,inactivation of X chromosome by DNA methylation",ATP binding,"Barr body,nuclear chromosome, telomeric region",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2,85,105
A8K7I4,CLCA1,A8K7I4,CLCA1_HUMAN,Calcium-activated chloride channel regulator 1,TRUE,M / MaN,M,MaN,20,A8K7I4,179.097915649414,114.406677246093,-0.65,0.65,-36.12,0.64,0,7.19E-01,5.69E-01,19,0.684945529273829,Homo sapiens,0%,100225.55,"proteolysis,transport,calcium ion transport,ion transmembrane transport,cellular response to hypoxia,chloride transmembrane transport","metalloendopeptidase activity,intracellular calcium activated chloride channel activity,chloride channel activity,metal ion binding","extracellular space,plasma membrane,integral component of plasma membrane,microvillus,zymogen granule membrane",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|A8K7I4|CLCA1_HUMAN Calcium-activated chloride channel regulator 1 OS=Homo sapiens GN=CLCA1 PE=1 SV=3,36,57
B5ME19;Q99613,EIF3CL;EIF3C,B5ME19;Q99613,EIFCL_HUMAN;EIF3C_HUMAN,Eukaryotic translation initiation factor 3 subunit C-like protein;Eukaryotic translation initiation factor 3 subunit C,TRUE,M / MaN,M,MaN,50,B5ME19;Q99613,188.296676635742,322.167877197265,0.77,0.77,71.10,1.71,0,7.95E-01,5.92E-01,49,0.336626523442991,Homo sapiens,1.1%;1.1%,105472.91;105343.79,"formation of translation preinitiation complex,translational initiation,regulation of translational initiation;formation of translation preinitiation complex,translational initiation,regulation of translational initiation","translation initiation factor binding,translation initiation factor activity;translation initiation factor binding,poly(A) RNA binding,translation initiation factor activity","eukaryotic translation initiation factor 3 complex,eukaryotic 43S preinitiation complex,eukaryotic 48S preinitiation complex;cytosol,eukaryotic translation initiation factor 3 complex,eukaryotic 43S preinitiation complex,eukaryotic 48S preinitiation complex",sp,3;1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1;>sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,10,19
